T,t,strength_result1,strength_result2,strength_result3,modulus_result1,modulus_result2,modulus_result3,elongation_result1,elongation_result2,elongation_result3,tg_result1,tg_result2,tg_result3
0.07,0.11,115.80225541941846,134.8304249861952,119.88364326286668,4491.0727980024785,4329.591635835852,4515.415317865205,3.6943309501805643,5.844258168008211,4.159217902358156,123.20767709519481,125.61438713739597,129.18005328069347
0.07,0.12,115.76290324799007,135.25980806427782,120.42959052445215,4497.285481167502,4335.59263039966,4519.543837825786,3.700178509513476,5.876715400948717,4.215737257308678,123.2043223444029,125.80001946057033,129.31349546925819
0.07,0.13,115.71631036754295,135.67088991613693,120.96887696372076,4503.144654023901,4341.490250362931,4523.307715497285,3.7058532458219284,5.907962247791635,4.272714219232634,123.19530910403515,125.97746643514972,129.43894141271352
0.07,0.14,115.66380712436651,136.06367501228567,121.50162454725023,4508.646954705726,4347.28703758596,4526.710352171092,3.711425145727871,5.937988544045286,4.330127584954939,123.1809583511837,126.1467247502737,129.55640950469038
0.07,0.15,115.60675836621905,136.4381872765726,122.02795915105504,4513.789270415793,4352.985411074245,4529.755647786718,3.71696632915765,5.966785693562122,4.387953523717755,123.16159966923917,126.30779717978427,129.66591948912316
0.07,0.16,115.54655781255062,136.79446973373356,122.54801018798136,4518.568762360388,4358.5876561611585,4532.44799813562,3.7225507167056655,5.994346640860287,4.44616554819828,123.13757036396353,126.46069278340153,129.76749264310678
0.07,0.17,115.48462210648353,137.1325841265999,123.06191026407353,4522.98289089631,4364.095913906571,4534.792289365165,3.7282536742230663,6.020665841514037,4.50473450546747,123.1092145301206,126.60542709642218,129.8611520224973
0.07,0.18,115.42238457206139,137.4526105078748,123.56979485070937,4527.029440732653,4369.512170747235,4536.793889724842,3.734151635837846,6.045739231286627,4.563628587954227,123.07688207176378,126.74202230553496,129.9469227695101
0.07,0.19,115.36128870156676,137.75464681088613,124.07180195552195,4530.706546027735,4374.8382484374815,4538.458638524422,3.7403217067293353,6.069564194597493,4.622813364098345,123.04092767946099,126.87050740837202,130.0248324802315
0.07,0.2,115.30278139925096,138.0388084031147,124.56807177169708,4534.012715219455,4380.075794322875,4539.792832301078,3.7468412471231325,6.092139532822225,4.682251828020194,123.00170976792043,126.99091835447283,130.09491162866595
